2025-07-21 18:56:31,305 - DingTalk - INFO - 启动钉钉客户端
2025-07-21 18:56:31,305 - DingTalk - INFO - 应用ID：dingl9elinjlttwmpsxq
2025-07-21 18:56:31,305 - DingTalk - INFO - 使用凭证连接钉钉
2025-07-21 18:56:31,305 - DingTalk - INFO - 钉钉客户端连接成功
2025-07-21 18:56:31,305 - DingTalk - INFO - 已注册ChatbotMessage的回掉处理器
2025-07-21 18:56:31,305 - DingTalk - INFO - 正在启动钉钉客户端...
2025-07-21 18:56:51,656 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '684047d1-6621-11f0-80c0-7e88154b8801'}
2025-07-21 18:56:54,701 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:56:55,574 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '6a96239b-6621-11f0-89fb-2eaa794b294e'}
2025-07-21 18:56:58,585 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:56:59,475 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '6ce99df5-6621-11f0-8d8a-de809d1c6511'}
2025-07-21 18:57:18,526 - DingTalk - INFO - 启动钉钉客户端
2025-07-21 18:57:18,526 - DingTalk - INFO - 应用ID：dingl9elinjlttwmpsxq
2025-07-21 18:57:18,526 - DingTalk - INFO - 使用凭证连接钉钉
2025-07-21 18:57:18,526 - DingTalk - INFO - 钉钉客户端连接成功
2025-07-21 18:57:18,526 - DingTalk - INFO - 已注册ChatbotMessage的回掉处理器
2025-07-21 18:57:18,526 - DingTalk - INFO - 正在启动钉钉客户端...
2025-07-21 18:57:18,526 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:19,434 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '78cfd0df-6621-11f0-884b-5a20030ba585'}
2025-07-21 18:57:22,511 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:23,384 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '7b28976c-6621-11f0-884b-5a20030ba585'}
2025-07-21 18:57:26,405 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:27,289 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '7d7c29d0-6621-11f0-8bff-5215a8ef9827'}
2025-07-21 18:57:30,306 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:31,361 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '7fdc7609-6621-11f0-832b-b613d2b14d1f'}
2025-07-21 18:57:34,381 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:35,174 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '8230d83e-6621-11f0-8bff-5215a8ef9827'}
2025-07-21 18:57:38,194 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:39,101 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '8480a45a-6621-11f0-80bd-52afbb2bd5e8'}
2025-07-21 18:57:42,118 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:43,007 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '86dbb045-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 18:57:46,020 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:46,880 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '8925308f-6621-11f0-bee8-0eb3b764c0bb'}
2025-07-21 18:57:49,890 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:50,734 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '8b73820e-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 18:57:53,751 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:54,597 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '8dc3af89-6621-11f0-884b-5a20030ba585'}
2025-07-21 18:57:57,618 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:57:58,453 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '900ef41c-6621-11f0-8d8a-de809d1c6511'}
2025-07-21 18:58:01,471 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:02,330 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '925f66e4-6621-11f0-bee8-0eb3b764c0bb'}
2025-07-21 18:58:05,344 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:06,393 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '94c0e55d-6621-11f0-8d8a-de809d1c6511'}
2025-07-21 18:58:09,414 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:10,266 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '971b45c2-6621-11f0-8bff-5215a8ef9827'}
2025-07-21 18:58:13,277 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:14,152 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '9969af94-6621-11f0-bee8-0eb3b764c0bb'}
2025-07-21 18:58:17,173 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:17,974 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '9bb33f5a-6621-11f0-80c0-7e88154b8801'}
2025-07-21 18:58:20,983 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:22,535 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '9e687f95-6621-11f0-b05d-329bedae46d2'}
2025-07-21 18:58:25,541 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:26,392 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'a0b878e1-6621-11f0-884b-5a20030ba585'}
2025-07-21 18:58:29,405 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:30,340 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'a3121e39-6621-11f0-80bd-52afbb2bd5e8'}
2025-07-21 18:58:33,345 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:34,228 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'a56336cc-6621-11f0-80c0-7e88154b8801'}
2025-07-21 18:58:37,233 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:38,183 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'a7bf7d13-6621-11f0-89fb-2eaa794b294e'}
2025-07-21 18:58:41,187 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:42,000 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'aa062466-6621-11f0-80bd-52afbb2bd5e8'}
2025-07-21 18:58:45,007 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:45,891 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'ac573d5f-6621-11f0-8d8a-de809d1c6511'}
2025-07-21 18:58:48,895 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:49,808 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'aea57f91-6621-11f0-bebd-26ca3a8714ef'}
2025-07-21 18:58:52,819 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:53,663 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'b0f7fe29-6621-11f0-884b-5a20030ba585'}
2025-07-21 18:58:56,667 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:58:57,506 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'b34515fd-6621-11f0-bee8-0eb3b764c0bb'}
2025-07-21 18:59:00,511 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:01,384 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'b59334c3-6621-11f0-884b-5a20030ba585'}
2025-07-21 18:59:10,408 - DingTalk - INFO - 启动钉钉客户端
2025-07-21 18:59:10,408 - DingTalk - INFO - 应用ID：dingl9elinjlttwmpsxq
2025-07-21 18:59:10,408 - DingTalk - INFO - 使用凭证连接钉钉
2025-07-21 18:59:10,408 - DingTalk - INFO - 钉钉客户端连接成功
2025-07-21 18:59:10,408 - DingTalk - INFO - 已注册ChatbotMessage的回掉处理器
2025-07-21 18:59:10,408 - DingTalk - INFO - 正在启动钉钉客户端...
2025-07-21 18:59:10,408 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:11,265 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'bb776f1a-6621-11f0-8bff-5215a8ef9827'}
2025-07-21 18:59:14,325 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:15,323 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'bde11d39-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 18:59:18,332 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:19,189 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'c0311f67-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 18:59:22,193 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:23,239 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'c28b7ed8-6621-11f0-80c0-7e88154b8801'}
2025-07-21 18:59:26,249 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:27,236 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'c4fb4837-6621-11f0-b05d-329bedae46d2'}
2025-07-21 18:59:30,246 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:31,086 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'c7480a98-6621-11f0-8bc5-6647947ab531'}
2025-07-21 18:59:34,098 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:34,905 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'c98e1e27-6621-11f0-8bff-5215a8ef9827'}
2025-07-21 18:59:37,916 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:38,803 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'cbe11dc1-6621-11f0-89fb-2eaa794b294e'}
2025-07-21 18:59:41,825 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:42,657 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'ce2ab410-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 18:59:45,667 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:46,666 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'd0909b71-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 18:59:49,676 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:50,549 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'd2e146c3-6621-11f0-832b-b613d2b14d1f'}
2025-07-21 18:59:53,554 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:54,367 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'd52a041c-6621-11f0-89fb-2eaa794b294e'}
2025-07-21 18:59:57,371 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:59:58,269 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'd77b4ae6-6621-11f0-8bff-5215a8ef9827'}
2025-07-21 19:00:01,272 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:02,110 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'd9c47f4b-6621-11f0-80bd-52afbb2bd5e8'}
2025-07-21 19:00:05,118 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:06,648 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'dc70d596-6621-11f0-bebd-26ca3a8714ef'}
2025-07-21 19:00:09,660 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:10,543 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'decc3aa9-6621-11f0-832b-b613d2b14d1f'}
2025-07-21 19:00:13,548 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:14,371 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'e114add9-6621-11f0-8bc5-6647947ab531'}
2025-07-21 19:00:17,378 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:18,163 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'e357eeb6-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 19:00:21,166 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:22,050 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'e5a8de71-6621-11f0-832b-b613d2b14d1f'}
2025-07-21 19:00:25,058 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:25,947 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'e7faed95-6621-11f0-bebd-26ca3a8714ef'}
2025-07-21 19:00:28,954 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:29,799 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'ea4705e3-6621-11f0-bee8-0eb3b764c0bb'}
2025-07-21 19:00:32,807 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:33,987 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'ecc6d40c-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 19:00:36,994 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:37,871 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'ef17ceb8-6621-11f0-8bc5-6647947ab531'}
2025-07-21 19:00:40,882 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:41,727 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'f1644417-6621-11f0-bebd-26ca3a8714ef'}
2025-07-21 19:00:44,739 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:45,723 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'f3c3cad8-6621-11f0-80bd-52afbb2bd5e8'}
2025-07-21 19:00:48,734 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:49,576 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'f60f7e82-6621-11f0-884b-5a20030ba585'}
2025-07-21 19:00:52,579 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:53,515 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'f86a18f2-6621-11f0-b7a2-faf2d53e39a8'}
2025-07-21 19:00:56,519 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:00:57,384 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'fab82fc4-6621-11f0-bee8-0eb3b764c0bb'}
2025-07-21 19:01:00,394 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:01,257 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'fd077647-6621-11f0-8d8a-de809d1c6511'}
2025-07-21 19:01:04,263 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:05,215 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': 'ff5c9d92-6621-11f0-b05d-329bedae46d2'}
2025-07-21 19:01:08,223 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:09,324 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '01ca105c-6622-11f0-8d8a-de809d1c6511'}
2025-07-21 19:01:12,337 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:13,176 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '042131e9-6622-11f0-884b-5a20030ba585'}
2025-07-21 19:01:16,192 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:17,148 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '067f5df9-6622-11f0-bebd-26ca3a8714ef'}
2025-07-21 19:01:20,167 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:21,055 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '08d34a33-6622-11f0-bebd-26ca3a8714ef'}
2025-07-21 19:01:24,068 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:24,907 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '0b1fe311-6622-11f0-8bc5-6647947ab531'}
2025-07-21 19:01:27,922 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:28,774 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '0d6ed792-6622-11f0-8bff-5215a8ef9827'}
2025-07-21 19:01:31,792 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:32,631 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '0fbae7d5-6622-11f0-8bc5-6647947ab531'}
2025-07-21 19:01:35,656 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:36,601 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '1215831b-6622-11f0-8bff-5215a8ef9827'}
2025-07-21 19:01:39,615 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:40,530 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '146eee7f-6622-11f0-884b-5a20030ba585'}
2025-07-21 19:01:43,545 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:44,408 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '16bfb140-6622-11f0-80c0-7e88154b8801'}
2025-07-21 19:01:47,421 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:48,384 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '191733c5-6622-11f0-8bff-5215a8ef9827'}
2025-07-21 19:01:51,399 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:52,235 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '1b6b375e-6622-11f0-8d8a-de809d1c6511'}
2025-07-21 19:01:55,248 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:01:56,045 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '1db02429-6622-11f0-bebd-26ca3a8714ef'}
2025-07-21 19:01:59,239 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:02:00,038 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '1ff4d7c6-6622-11f0-bebd-26ca3a8714ef'}
2025-07-21 19:02:03,055 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:02:03,949 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '22470634-6622-11f0-8d8a-de809d1c6511'}
2025-07-21 19:02:06,967 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:02:07,815 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '24989675-6622-11f0-832b-b613d2b14d1f'}
2025-07-21 19:02:10,823 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 19:02:11,696 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '26dbde15-6622-11f0-b7a2-faf2d53e39a8'}
